Date,Open,High,Low,Close*,Adj Close**,Volume
"Aug 04, 2023",4.31,4.31,3.95,4.03,4.03,"338,100"
"Aug 03, 2023",4.42,4.55,4.23,4.30,4.30,"108,800"
"Aug 02, 2023",4.80,4.80,4.45,4.51,4.51,"47,800"
"Aug 01, 2023",4.75,4.82,4.62,4.79,4.79,"85,600"
"Jul 31, 2023",4.58,4.77,4.49,4.74,4.74,"58,700"
"Jul 28, 2023",4.25,4.66,4.21,4.60,4.60,"196,000"
"Jul 27, 2023",4.15,4.29,4.00,4.18,4.18,"150,900"
"Jul 26, 2023",4.18,4.47,3.92,3.99,3.99,"186,100"
"Jul 25, 2023",4.69,4.96,4.10,4.20,4.20,"347,500"
"Jul 24, 2023",4.97,5.05,4.64,4.69,4.69,"125,700"
"Jul 21, 2023",4.89,5.01,4.82,4.97,4.97,"34,600"
"Jul 20, 2023",4.72,4.99,4.63,4.87,4.87,"75,000"
"Jul 19, 2023",4.64,4.91,4.61,4.65,4.65,"102,600"
"Jul 18, 2023",4.94,4.94,4.55,4.65,4.65,"289,200"
"Jul 17, 2023",5.10,5.14,4.86,4.92,4.92,"164,800"
"Jul 14, 2023",5.01,5.27,5.01,5.09,5.09,"130,800"
"Jul 13, 2023",4.88,5.04,4.85,5.00,5.00,"138,800"
"Jul 12, 2023",5.09,5.09,4.78,4.90,4.90,"208,200"
"Jul 11, 2023",4.95,5.20,4.70,5.15,5.15,"689,000"
"Jul 10, 2023",5.31,5.50,4.77,4.80,4.80,"346,200"
"Jul 07, 2023",5.38,5.70,4.99,5.31,5.31,"283,400"
"Jul 06, 2023",5.54,5.56,5.16,5.41,5.41,"265,600"
"Jul 05, 2023",5.90,5.90,5.45,5.70,5.70,"227,900"
"Jul 03, 2023",5.92,5.92,5.60,5.75,5.75,"54,600"
"Jun 30, 2023",5.85,5.97,5.70,5.86,5.86,"95,100"
"Jun 29, 2023",5.79,6.00,5.46,5.75,5.75,"147,800"
"Jun 28, 2023",5.61,5.94,5.45,5.77,5.77,"142,300"
"Jun 27, 2023",5.80,5.80,5.44,5.60,5.60,"192,800"
"Jun 26, 2023",5.86,6.00,5.60,5.76,5.76,"225,400"
"Jun 23, 2023",5.79,6.46,5.69,5.83,5.83,"517,200"
"Jun 22, 2023",5.60,5.87,5.45,5.75,5.75,"139,100"
"Jun 21, 2023",5.99,6.03,5.30,5.54,5.54,"601,600"
"Jun 20, 2023",5.98,6.48,5.91,6.09,6.09,"170,700"
"Jun 16, 2023",6.18,6.39,5.98,5.98,5.98,"175,600"
"Jun 15, 2023",6.20,6.37,5.91,6.22,6.22,"174,100"
"Jun 14, 2023",6.39,6.48,6.13,6.20,6.20,"83,400"
"Jun 13, 2023",6.37,6.68,6.25,6.49,6.49,"106,700"
"Jun 12, 2023",6.86,6.86,6.27,6.31,6.31,"192,000"
"Jun 09, 2023",7.15,7.21,6.62,6.85,6.85,"213,700"
"Jun 08, 2023",7.23,8.00,7.02,7.15,7.15,"488,300"
"Jun 07, 2023",6.90,7.33,6.85,7.16,7.16,"151,800"
"Jun 06, 2023",6.60,7.29,6.60,6.93,6.93,"239,000"
"Jun 05, 2023",6.58,6.80,6.36,6.62,6.62,"97,000"
"Jun 02, 2023",6.44,6.92,6.31,6.78,6.78,"182,000"
"Jun 01, 2023",6.15,6.68,6.07,6.45,6.45,"136,800"
"May 31, 2023",5.44,6.22,5.44,6.11,6.11,"168,200"
"May 30, 2023",5.30,5.64,4.92,5.47,5.47,"273,900"
"May 26, 2023",5.55,5.73,5.25,5.28,5.28,"218,700"
"May 25, 2023",6.50,6.69,5.21,5.59,5.59,"637,400"
"May 24, 2023",6.41,6.80,6.25,6.41,6.41,"206,500"
"May 23, 2023",6.92,7.30,6.37,6.53,6.53,"264,000"
"May 22, 2023",7.36,7.47,6.62,7.02,7.02,"278,900"
"May 19, 2023",7.58,7.67,7.27,7.30,7.30,"93,200"
"May 18, 2023",8.05,8.30,7.41,7.55,7.55,"131,300"
"May 17, 2023",7.74,8.30,7.74,7.98,7.98,"162,800"
"May 16, 2023",7.35,7.99,7.31,7.74,7.74,"76,100"
"May 15, 2023",7.24,8.22,7.24,7.99,7.99,"119,600"
"May 12, 2023",7.85,8.03,7.20,7.34,7.34,"204,800"
